input_text,label
"The present appeal has been preferred being aggrieved by the judgment dated 22.09.2023 passed by the High Court of Judicature at Allahabad under Section 482 of the Code of Criminal Procedure, 1973 (‘CrPC’ for short) in Application No. It is the plea of the appellant that he is the owner of the premises and was in charge o f m a n a g i n g & m a i n t a i n i n g t h e h o s t e l , w h i c h w a s b e i n g o p e r a t e d b y a Non-Governmental Organization, named Sampoorna Development India. As regards the difference between a Judicial Magistrate and an Executive Magistrate, it has been clarified by this Court in Gulam Abbas v. A written complaint by a public servant before the court takes cognizance is sine qua non, absence of which would vitiate such cognizance being taken for any offence punishable under Section 186 of the IPC. Under the circumstances, we are of the opinion that taking cognizance by the CJM, Varanasi, of the offences under Section 353 of the IPC and 186 of the IPC was not done by following the due process contemplated under the provisions of law, and accordingly, the same being contrary to law, all the orders passed pursuant thereto cannot be sustained and would warrant interference from this Court. Accordingly, we allow this appeal by quashing Case No. Sections: 353 IPC, 186 IPC, 172 IPC, 195(1) IPC, 350 IPC, 351 IPC, 482 CrPC, 186 CrPC, 161 CrPC, 195 CrPC, 155 CrPC, 156 CrPC, 155(2) CrPC, 154 CrPC, 195(1) CrPC, 2 CrPC, 353 CrPC, 155(4) CrPC.",1
"The instant appeal by special leave preferred by the appellant takes exception to the judgment dated 3rd May, 2024, passed by the High Court of Judicature for the State of Telangana at Hyderabad in Criminal Petition No. 2(complainant) was working as an Assistant Professor, Pediatrics in National Institute for Empowerment of Persons with Intellectual Disabilities, Secunderabad. … The facts and evidence collected during the course of investigation it is elicited that the accused is the director of NIMH. For appreciating the necessary ingredients required to substantiate a charge under Section 504, IPC, a reference in this regard may be made to the judgment of this Court in Fiona Shrikhande v. As a consequence of the discussion made hereinabove, the impugned judgment dated 3rd May, 2024, passed by the High Court for the State of Telangana at Hyderabad is quashed and set aside. Pending application(s), if any, shall stand disposed of. Sections: 269 IPC, 270 IPC, 504 IPC, 354 IPC, 370 IPC, 482 CrPC.",1
"The present Criminal Appeal is filed under Section 2(a) of the Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Act, 1970, read with Section 379 of Code of Criminal Procedure, 1973 seeking to challenge the impugned judgment and final order dated 25.08.2015 in Criminal Appeal No. 1 to 4 (appellants herein) for the offence punishable under Section 302 read with CrPC Section 34 of Indian Penal Code, 18602 and sentenced them to rigorous imprisonment for life and to pay a fine of Rs. It was observed by the High Court that eye-witnesses had been cross-examined at length by the counsel for defence who had failed to make any substantive dents in their testimonies. The High Court held that discrepancy about the time or instance at which the arm of the deceased was twisted was only a minor contradiction and did not strike at the core of their testimonies or create doubt about the act of twisting the arm of the deceased by the Accused No. Accordingly, the appeal is dismissed, and the judgment of the High Court is upheld. Sections: 302 IPC, 148 IPC, 2(a) CrPC, 302 CrPC, 34 IPC, 149 IPC, 379 CrPC.",0
"impugned order learned Judge of the High Court of Karnataka dismissed Criminal Petition No. State of Karnataka & Anr.) and Criminal Petition No. What emerges on a conjoint reading of the aforementioned provisions is that, for a conviction under Section 323 of the IPC, there must be a voluntary act of causing hurt, i.e., bodily pain, disease, or infirmity, to another person. Having said that, the appellants cannot be said to have foreseen or anticipated the actions of the security personnel in such a manner that would render them co-perpetrators of the offence. Thus, the impugned order passed by the High Court, dated 31.07.2019, cannot be sustained and, consequently, stands set aside. Sections: 323 IPC, 504 IPC, 506 IPC, 509 IPC, 511 IPC, 354 IPC, 503 IPC, 34 IPC.",1
"Since the issues raised in all the captioned appeals are same, the parties are also same and the challenge is also to the self-same judgment and order passed by the High Court those were taken up for hearing analogously and are being disposed of by this common judgment and order. These appeals arise from the judgment and order passed by the High Court of Punjab & Haryana at Chandigarh dated 09.09.2022 in Civil Revision No. Once the superior court has disposed of the lis before it either way — whether the decree or order under appeal is set aside or modified or simply confirmed, it is the decree or order of the superior court, tribunal or authority which is the final, binding and operative decree or order wherein merges the decree or order passed by the court, tribunal or the authority below. The nature of jurisdiction exercised by the superior forum and the content or subject- matter of challenge laid or which could have been laid shall have to be kept in view.” Further, while explaining the position that emerges on the grant of special leave to appeal by this Court, it was observed: “41. In the result, the appeals fail and are hereby dismissed. Sections: 148 CPC, 28 Specific Relief Act, 35(c) Specific Relief Act.",0
"This criminal appeal by special leave is directed against the judgment and order dated 11.08.2010 passed by the Gauhati High Court at Guwahati (High Court) dismissing Criminal Appeal No. Appellant was sentenced to suffer rigorous imprisonment (RI) for 5 years alongwith a fine of Rs. PW- 5 stated that later on they found the dead body of Marjina near the railway track. In his evidence-in- chief, he stated that he knew Amzad Ali (PW-1). Accordingly, the criminal appeal is allowed. Appellant is acquitted of the charges levelled against him and is set at liberty forthwith unless his custody is required in connection with any other crime. Sections: 366(A) IPC, 302 IPC, 201 IPC, 34 IPC, 313 CrPC, 161 CrPC, 25 Evidence Act, 26 Evidence Act, 27 Evidence Act.",1
"The question for our consideration is whether the High Court could have justifiably invoked judicial review under Article 226 of the Constitution to interdict personal insolvency proceedings initiated against respondent no.1 under Section 95 of the Insolvency and Bankruptcy Code, 2016 1 by holding that his liability as a debtor has been waived. The High Court jurisdiction was invoked against the order of the Adjudicating Authority dated 16.02.2024 appointing a resolution professional and directing him Hereinafter ‘IBC’. It specifically observed that respondent no. As has been held by this Court in Jiwrajka (supra), the Adjudicating Authority does not adjudicate any point at this stage and need not decide jurisdictional questions regarding existence of the debt before appointing the resolution professional.9 This is because Section 99 requires the resolution professional to, at the first instance, gather information and evidence regarding repayment of the debt, and ascertain whether the application satisfies the requirements of Section 94 or Section 95 of the IBC. In view of the above reasons, we allow the present appeal and set aside the impugned order dated 28.05.2024 by the Karnataka High Court in Writ Petition No. Sections: 95 IBC, 99 IBC, 95(1) IBC, 97(5) IBC, 97 IBC, 94 IBC, 100 IBC.",1
"The appellants call in question the judgment and order dated 7 th March, 2024 passed by a Division Bench of the High Court for the High Court respondent from the judgment and order dated 22nd November, 2023 of dismissal of his writ petition by a Single Judge of the same court. The solitary question arising for decision on this appeal is whether the Division Bench was justified in its interference with the order of dismissal of the writ petition. It has not been shown by the first respondent that the contents of the counter affidavit, filed by BoI, either did not contain any such material or that even if it did contain such material, the same did not amount to wide publicity. Our attention has been invited by learned counsel appearing for the appellants to a decision of this Court in Calcutta Port Trust and Ors. The impugned judgment and order dated 7th March, 2024 is set aside and the judgment and order of the Single Judge dated 22nd November, 2023 affirmed, with the result that the writ petition of the first respondent on the file of the High Court shall stand dismissed.",0
"Heard the learned counsel appearing for the parties. This appeal arises from the order passed by the High Court of Judicature at Calcutta dated 23.09.2019 in CO. Unless such a circumstance is alleged (it was pointed out), the court cannot think of the circumstances and, in its absence, the court cannot take action under XXI, Rule 37.” Rule 11-A states that where an application is made for the arrest and detention of the judgment-debtor, it must state or accompanied by an affidavit - specifying the grounds on which arrest is sought. But if the requisite affidavit is not filed by the decree-holder, the court should afford an opportunity to him to file such affidavit. The appeal is allowed in the aforesaid terms. Pending application, if any, shall stand disposed of accord- ingly. Sections: 51 CPC, 47 CPC.",1
"The Criminal Appeal has been filed challenging the impugned judgment and order dated 23rd January, 2024 passed by the Gauhati High Court at Assam in Case number Crl. No.P/483/2023, whereby the appellant’s writ petition challenging the order dated 09th October, 2023 passed by the Additional Sessons Judge Karbi Anglong, Diphu, in Dillai Police Station case No.32/2023, corresponding to G.R. Rawant case (supra), in this behalf, in para 10, has observed as under:— “10. In such cases, subject to a guarantee that the vehicle becomes available for the purpose of confiscation, if any, the Court has necessarily the Jurisdiction to pass an order for interim custody either under S. The appeal is accordingly allowed leaving parties to bear their own costs.” IF THE VEHICLE IN THE PRESENT CASE IS KEPT IN THE CUSTODY OF POLICE TILL THE TRIAL IS OVER, IT WILL SERVE NO PURPOSE This Court is also of the view that if the Vehicle in the present case is allowed to be kept in the custody of police till the trial is over, it will serve no purpose. Consequently, the present Criminal Appeal is allowed with directions to the trial Court to release the Vehicle in question in the interim on superdari after preparing a video and still photographs of the vehicle and after obtaining all information/documents necessary for identification of the vehicle, which shall be authenticated by the Investigating Officer, owner of the Vehicle and accused by signing the same. Sections: 173 CrPC, 451 CrPC, 457 CrPC, 36C CrPC, 51 CrPC, 21(b) NDPS Act, 1 NDPS Act, 36C NDPS Act, 51 NDPS Act, 60 NDPS Act, 63 NDPS Act, 37 NDPS Act, 36 NDPS Act, 50 NDPS Act, 53 NDPS Act.",1
"The appellant herein has preferred the instant appeal by special leave for assailing his conviction in Calendar Case No. 1, Thiruvallur for the offences punishable under Sections 120B, 468 and 471 (2 counts) read with Section 109 of the Indian Penal Code, 18602. This fact was sought to be proved through the testimony of the handwriting expert (PW- 18). State of M.P.8, wherein this Court laid down the principles with regard to the extent to which reliance can be placed on the evidence of an expert witness and when corroboration of such evidence may be sought. The appellant is acquitted of the charges. Pending application(s), if any, shall stand disposed of. Sections: 120B IPC, 468 IPC, 471 IPC, 45 Evidence Act, 109 IPC.",1
"Being aggrieved by the judgment dated 11.09.2019 passed by the Division Bench of the High Court in Writ Appeal No.683/2018 as well as the order passed in Review Petition No.535/2019 arising out of Writ Appeal No.683/2018 dated 04.03.2020, these appeals have been filed by the persons who claimed to be the tenants and who had filed Form No.7 before the concerned Land Tribunal. He filed an application before the Land Tribunal (for short “Land Tribunal”), Magadi Taluk (now in Bangalore South Taluk) seeking grant of occupancy rights under the provisions of Karnataka Land Reforms Act, 1961 (‘1961 Act’ for short) in respect of Survey No. The Division Bench of the High Court heard the parties and by ‘paragraph 6’ further clarified the order of the Land Tribunal as well as the order of the learned Single Judge by way of the following observations: “6. Being aggrieved by the clarification made by the Division Bench of the High Court, these appeals have been filed. These appeals are allowed and disposed of in the aforesaid terms. No.1331/2008, we think that the ends of justice would be met if we allow these appeals with costs of Rs.1,00,000/- (Rupees One Lakh Only) to be paid by the appellant to the private respondent Nos.1 to 5.",1
"Canara Bank is in appeal, by special leave, aggrieved by the judgment and order dated 4th November, 2019 of a Division Bench of the High Court of Kerala at Ernakulam dismissing an intra-court appeal that it had carried from the judgment and order dated 9th June, 2016 of a Single Bench allowing the writ petition of Ajithkumar G.K.4. impugned order High Court respondent RESUME OF FACTS The facts leading to this appeal are not disputed. f) Compassionate appointment is a concession and not a right and the criteria laid down in the Rules must be satisfied by all aspirants [see SAIL v. Such appointment not being a vested right, the right to apply cannot be exercised at any time in future and it cannot be offered whatever the lapse of time and after the crisis is over [see Eastern Coalfields Ltd. In the final analysis, the impugned judgment and order of the Division Bench as well as that of the Single Bench stands set aside. The civil appeal is allowed on the aforesaid terms.",1
"The appellants have approached this Court by way of this appeal seeking a direction upon the respondents to consider the candidature of the appellants for appointment as Food Safety Officers, pursuant to the notification dated 7th October, 2015 issued by the Jharkhand Public Service Commission upon the requisition of the State of Jharkhand. The appellants herein have the qualifications of post-graduation in science with microbiology, food and technology subjects. He placed reliance on the judgment of this Court in Parvaiz Ahmad Parry v. State of Jammu and Kashmir and Others; to urge that a candidate possessing a higher degree in the subject prescribed under the advertisement cannot be disqualified by reason of ineligibility for not possessing the required degree. The impugned judgments rendered by the Division Bench and the Single Bench, holding that the appellants were not qualified for the post of FSO, are quashed and set aside. Pending application(s) if any, stand disposed of. Sections: 91 FSS Act, 94 FSS Act, 37 FSS Act, 37(1) FSS Act, 91(2)(b) FSS Act.",1
"By the said judgment, the High Court upheld the conviction and the sentence of death imposed on the appellant by the Court of Sessions for Greater Bombay (hereinafter referred to as the ‘Trial Court’) in Sessions Case No. For the offences punishable; under Section 302 IPC, the appellant was sentenced to death; under Section 364 IPC, rigorous imprisonment for 10 years and to pay a fine of Rs. Even though objection has not been raised specifically when the CCTV footage was exhibited by PW- 1, when PW-38 was in the witness box a specific question was put to him and subsequent to evidence, he deposed that he was aware of the necessity of furnishing 65-B certificate while collecting electronic evidence. The Trial Court judgment in this case came on 31.10.2015, when Anvar P.V. Hence, we are constrained to come to the sole irresistible conclusion that the appellant is not guilty of the offences for which he has been charged. The appellant shall be set at liberty forthwith, if not required in any other case. Sections: 302 IPC, 364 IPC, 366 IPC, 376(2)(m) IPC, 376A IPC, 392 IPC, 201 IPC, 161 CrPC, 465(2) CrPC, 91 CrPC, 65 Evidence Act, 63 Evidence Act, 91 Evidence Act, 62 Evidence Act, 106 Evidence Act, 165 Evidence Act.",1
"These appeals challenge the judgment and final order dated 27th December 2012 passed by the High Court of Uttarakhand at Nainital by which the High Court dealt with three Criminal Appeals which had been filed challenging the judgment and order dated 6th September 2006 passed by the learned Sessions Judge, Dehradun. The first set of appeals before the High Court being Criminal Appeal Nos. Devadatt Kamat submits that the Division Bench of the High Court has grossly erred in convicting the appellants with the aid of Section 34 of the IPC. It is submitted that the learned trial judge on an elaborate consideration of the evidence had come to a considered opinion that insofar as the present appellants are concerned there is no evidence to show that the present appellants had shared a common intention with the accused No.1-Jagdish Singh. In the result, we pass the following order: (i) The appeals are allowed. (v) Pending application(s), if any, shall stand disposed of. Sections: 302 IPC, 34 IPC, 379 CrPC, 302 Arms Act, 27(3) Arms Act, 34 Arms Act, 27(1) Arms Act.",1
"The contentions and the factual matrix involved in the captioned Special Leave Petitions would reveal that the bone of contentions in them, essentially is one and the same viz., whether the subject lands were Shamlat deh, allotted (if at all allotment was there) on quasi- permanent basis to displaced person(s) or whether they were Shamlat deh otherwise transferred to any person by sale or by any other manner whatsoever after commencement of Punjab Village Common Lands (Regulation) Act, 1961 (for short, ‘the Act’). An answer to that question in the affirmative would fetch protection to such allotment or transfer by sale or by any other manner, statutorily by virtue of the amendment of Section 2(g)(ii-a) of the Act. On perusing the revenue records and jamabandis of different years, the authorities clearly found that he was a lessee. Further, it was found that it was so given to him for 10 years and no ownership right was given to him. In the said circumstances, the Special Leave Petition stands dismissed. (Rajesh Bindal) New Delhi; January 02, 2025. Sections: 105 TP Act.",0
"The questions arising in this appeal that assails the judgment and order dated 2nd June, 2023 passed by the High Court of Punjab & Haryana at Chandigarh in Case No.CRM-M-5784 of 2023 (O&M), whereby under Section 482 of Criminal Procedure Code, 1973 the Court refused to quash Complaint Case No.151 of 2010 dated 8th June, 2010; summoning order dated 17th August, 2010; and order dated 28th November, 2016 declaring the appellant a proclaimed offender passed by the Judicial Magistrate, 1st Class, Bhiwani; are that whether the proclaimed offender status, under the provisions of the Cr.P.C., of an accused can subsist if such accused stands acquitted during trial in connection to the very Hereinafter, “Cr.P.C.” same offence; and whether the subsistence of the proclamation under Section 82 of Cr.P.C. is necessary for the authorities to proceed against an accused against whom such a proclamation stands issued, under Section 174A of the Indian Penal Code, 18602. It cannot be a subject-matter of execution of a decree, far less for executing the decree of a third party, who had no right, title or interest thereon.” (Emphasis Supplied) 6.3 The evidentiary value of a person absconding has been discussed in Raghubir Singh v. …the act of absconding, even if proved, is normally considered a somewhat weak link in the chain of circumstances utilised for establishing the guilt of an accused person. that the original offence pertains to the year 2010; the money subject matter of dispute stands paid, the judgment of the High Court with the particulars as mentioned in paragraph 1 of this judgment, stands quashed and set aside. Pending Application(s) if any, stand disposed of. Sections: 174A IPC, 302 IPC, 304 IPC, 364 IPC, 367 IPC, 382 IPC, 392 IPC, 393 IPC, 394 IPC, 395 IPC, 396 IPC, 397 IPC, 398 IPC, 399 IPC, 400 IPC, 402 IPC, 436 IPC, 449 IPC, 459 IPC, 82 IPC, 82 CrPC, 482 CrPC, 41 CrPC, 174A CrPC, 82(1) CrPC.",1
"This appeal arises out of the order dated 18.11.2024 passed by the High Court in Criminal Appeal No. 675/2024, dismissing the appeal against rejection of the appellant’s application for anticipatory bail by Trial Court order dated 24.08.2024. ingredient for attracting Sections 2(1)(r) and 2(1)(s) of the SC/ST Act, i.e., that such statement must be made within “public view”, as held by this Court in Shajan Skaria v. Pending applications, if any, stand disposed of. Sections: 364 IPC, 511 IPC, 307 IPC, 343 IPC, 419 IPC, 506 IPC, 120B IPC.",1
"This appeal is at the instance of the claimant-appellant, who is aggrieved by the order and judgment of the High Court of Punjab and Haryana at Chandigarh in FAO No.4651 of 2014 (O&M) dated 9 th January, 2020. The appeal before the High Court was drawn against the judgment and order dated Motor Accident Claims Tribunal, Gurgaon, in MACT Case No.3 of 8 th January, 2013, passed on 25th September, 2013. Memo of cost be prepared accordingly and file be consigned to record room after due compliance.” (Emphasis supplied) Feeling dissatisfied and aggrieved by the compensation awarded, the claimant-appellant appealed before the High Court. A perusal of the impugned judgment reveals that the Court relied on a judgment of this Court in Raj Kumar v. Pending application(s), if any, shall stand disposed of accordingly. Sections: 279 IPC, 337 IPC, 304 IPC.",1
"SANJAY KUMAR, J Turning the law of land acquisition on its head, the astonishing events that this appeal is founded on need to be narrated in some detail. An extent of 33 acres of land abutting the Narela-Bawana Road was acquired by the Government to enable the Delhi Agricultural Marketing Board (hereinafter, ‘the Board’) to shift and establish its grain market in Narela. However, by order dated 01.07.2013, a learned Judge of the Delhi High Court dismissed the petition, upholding the Award in its entirety. The appeal also failed as a Division Bench of the Delhi High Court dismissed it on 27.09.2013. The appeal is accordingly allowed and the judgment dated 27.09.2013 of the Division Bench of the Delhi High Court in FAO (OS) No. Sections: 34 Arbitration Act, 37 Arbitration Act, 4(1) Land Acquisition Act, 6 Land Acquisition Act.",1
"FACTUAL ASPECTS The appellant, Delhi Development Authority (formerly known as the Delhi Improvement Trust), executed an agreement of lease (for short, “the lease agreement”) dated 17th July 1957 in respect of plot no.3 (for short “the said Plot”), measuring 2044.4 sq. yards, situated in Industrial Area Scheme, Najafgarh Road, New Delhi in favour of M/s Mehta Constructions and Industrial Corporation Private Limited (for short, “M/s Mehta Constructions”). As per the order dated 4th February 1985 passed by the learned Single Judge of the High Court, the High Court Registrar presented the sale deed for registration before the sub-Registrar of Assurances at Delhi. On 9th June 2000, a notice for Proclamation of Sale was published by the High Court of Punjab and Haryana of the said plot. Accordingly, the appeal stands dismissed in the light of the findings recorded as above.",0
"The appellant was a Minister in the Government of the State of Gujarat, who after his resignation was proceeded with under the Prevention of Corruption Act, 1988 1. The allegation 1 For brevity ‘the Act’ fishing contracts in the reservoirs vested with the State were allotted without following the policy of the Government; mandating tender proceedings. Unless proof is offered to the satisfaction of the Court that there is a demand and acceptance of illegal gratification, the presumption would not arise. The question of presumption does not arise in the present case where the Special Court had merely examined the complainant and also summoned three witnesses, the officers of the investigation team, under Section 311 of the Cr.P.C. We allow the appeal and direct that the proceedings initiated against the second accused be dropped. Pending applications, if any, shall stand disposed of. Sections: 482 CrPC, 311 CrPC, 245 CrPC, 20 CrPC.",1
"Heard learned counsel appearing for the appellant. The appellant is the Directorate of Enforcement. He was produced before the Court at 3 p.m. Hence, we find no error in the impugned order, and accordingly, the appeal is dismissed. Pending application(s), if any, shall stand disposed of. Sections: 57 CrPC, 65 CrPC, 4 PMLA, 65 PMLA, 1 PMLA, 45 PMLA.",0
"Disortho S.A.S,1 the petitioner before us, is a company incorporated in Bogota, Colombia. The respondent, Meril Life Science Private Limited,2 is a company incorporated in Gujarat, India. This can happen when the law of the seat mandates that the arbitration agreement must be governed by the law of that country. The close connection test applies only when the law governing the arbitration agreement cannot be ascertained even after applying the earlier paragraphs. The arbitration petition is allowed in the above terms and disposed of accordingly. Sections: 11(6) Arbitration Act.",1
"A manifestly flawed process of selection, which was rightly interdicted by the writ court, has since been reversed by the writ appellate court premised on a fundamentally incorrect understanding of the Government of India (Allocation of Business) Rules, 1961 framed under Article 77 of the Constitution of India and an utterly mistaken notion of the scope of interference in matters relating to selection and appointment. It has, thus, not surprised us at all that Mr. …Secondly, the definition clause must be read in the context of the subject-matter and scheme of the Act, and consistently with the objects and other provisions of the Act. Their meaning is found not so much in a strictly grammatical or etymological propriety of language, nor even in its popular use, as in the subject or in the occasion on which they are used, and the object to be attained’. While we set aside the former, the latter is restored, meaning thereby, the appointment of the third respondent stands quashed.",0
